Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,
159,"5/24/22, 11:08:38 AM",1 ft,0:00:01,0.7 mph,21 ft,160° true,N18° 21.535' W65° 01.985',
160,"5/24/22, 11:08:39 AM",1 ft,0:00:01,1.0 mph,21 ft,120° true,N18° 21.534' W65° 01.985',
161,"5/24/22, 11:08:40 AM",1 ft,0:00:01,0.7 mph,21 ft,98° true,N18° 21.534' W65° 01.985',
162,"5/24/22, 11:08:41 AM",2 ft,0:00:01,1.3 mph,21 ft,136° true,N18° 21.534' W65° 01.985',
163,"5/24/22, 11:08:42 AM",2 ft,0:00:01,1.1 mph,21 ft,136° true,N18° 21.534' W65° 01.985',
164,"5/24/22, 11:08:43 AM",1 ft,0:00:01,1.0 mph,21 ft,143° true,N18° 21.534' W65° 01.984',
165,"5/24/22, 11:08:44 AM",1 ft,0:00:01,0.7 mph,21 ft,138° true,N18° 21.534' W65° 01.984',
166,"5/24/22, 11:08:45 AM",0 ft,0:00:01,0.3 mph,21 ft,58° true,N18° 21.534' W65° 01.984',
167,"5/24/22, 11:08:46 AM",0 ft,0:00:01,0.2 mph,21 ft,270° true,N18° 21.534' W65° 01.984',
168,"5/24/22, 11:08:47 AM",0 ft,0:00:01,0.3 mph,19 ft,278° true,N18° 21.534' W65° 01.984',
169,"5/24/22, 11:08:48 AM",0 ft,0:00:01,0.3 mph,19 ft,254° true,N18° 21.534' W65° 01.984',
170,"5/24/22, 11:08:49 AM",1 ft,0:00:01,0.7 mph,19 ft,273° true,N18° 21.534' W65° 01.984',
171,"5/24/22, 11:08:50 AM",1 ft,0:00:01,1.0 mph,19 ft,151° true,N18° 21.534' W65° 01.984',
172,"5/24/22, 11:08:51 AM",0 ft,0:00:01,0.1 mph,19 ft,289° true,N18° 21.533' W65° 01.984',
173,"5/24/22, 11:08:52 AM",1 ft,0:00:01,0.9 mph,19 ft,114° true,N18° 21.533' W65° 01.984',
174,"5/24/22, 11:08:53 AM",2 ft,0:00:01,1.0 mph,19 ft,116° true,N18° 21.533' W65° 01.984',
175,"5/24/22, 11:08:54 AM",1 ft,0:00:01,0.5 mph,19 ft,97° true,N18° 21.533' W65° 01.984',
176,"5/24/22, 11:08:55 AM",1 ft,0:00:01,0.4 mph,19 ft,73° true,N18° 21.533' W65° 01.984',
177,"5/24/22, 11:08:56 AM",1 ft,0:00:01,0.5 mph,21 ft,0° true,N18° 21.533' W65° 01.984',
178,"5/24/22, 11:08:57 AM",1 ft,0:00:01,0.6 mph,21 ft,350° true,N18° 21.533' W65° 01.984',
179,"5/24/22, 11:08:58 AM",1 ft,0:00:01,0.8 mph,21 ft,349° true,N18° 21.534' W65° 01.984',
180,"5/24/22, 11:08:59 AM",1 ft,0:00:01,0.8 mph,19 ft,306° true,N18° 21.534' W65° 01.984',
181,"5/24/22, 11:09:00 AM",1 ft,0:00:01,0.9 mph,19 ft,288° true,N18° 21.534' W65° 01.984',
182,"5/24/22, 11:09:01 AM",1 ft,0:00:01,0.5 mph,19 ft,286° true,N18° 21.534' W65° 01.984',
183,"5/24/22, 11:09:02 AM",0 ft,0:00:01,0.1 mph,19 ft,145° true,N18° 21.534' W65° 01.984',
184,"5/24/22, 11:09:03 AM",1 ft,0:00:01,0.6 mph,19 ft,112° true,N18° 21.534' W65° 01.984',
185,"5/24/22, 11:09:04 AM",1 ft,0:00:01,0.7 mph,19 ft,123° true,N18° 21.534' W65° 01.984',
186,"5/24/22, 11:09:05 AM",0 ft,0:00:01,0.1 mph,19 ft,162° true,N18° 21.534' W65° 01.984',
187,"5/24/22, 11:09:06 AM",0 ft,0:00:01,0.3 mph,19 ft,127° true,N18° 21.534' W65° 01.984',
188,"5/24/22, 11:09:07 AM",1 ft,0:00:01,0.4 mph,19 ft,79° true,N18° 21.534' W65° 01.984',
